70.3,137.9,P
114.3,120.6,O
26.4,120.6,G
70.3,112.3,P
77.0,105.7,O
63.7,105.7,G
70.3,99.1,P
114.3,97.1,O
90.7,97.1,P
90.7,97.1,G
90.7,97.1,G
90.7,97.1,O
49.9,97.1,P
49.9,97.1,O
49.9,97.1,O
49.9,97.1,G
26.4,97.1,G
117.5,77,P
70.3,77,P
23.2,77,P
96.2,73.1,P
90.7,73.1,G
90.7,73.1,G
90.7,73.1,O
49.9,73.1,O
49.9,73.1,O
49.9,73.1,G
44.4,73.1,P
124.1,70.3,O
77,70.3,O
63.7,70.3,G
16.6,70.3,G
117.5,63.7,P
70.3,63.7,P
23.2,63.7,P
101.7,50.4,P
96.2,50.4,G
90.7,50.5,G
90.7,50.4,O
49.9,50.4,O
49.9,50.4,G
44.4,50.4,O
38.9,50.4,P
70.3,41.6,P
77.0,35.0,O
63.7,35.0,G
70.3,28.4,P
101.7,26.4,P
101.7,26.4,G
96.2,26.4,G
90.7,26.4,O
49.9,26.4,G
44.4,26.4,O
38.9,26.4,O
33.4,26.4,P
73.1,8.3,G
67.6,8.3,O
73.1,2.8,G
67.6,2.8,O
70.3,5.5,P
